DATASET,TYPE,INPUT_SIZE,QUERIES,SUBSTRING_LENGTH,SPACE,CONSTRUCTION_TIME,QUERY_TIME_TOTAL,malloc_count_TOTAL,malloc_count_PEAK,malloc_count_after_construction_bytes
einstein,lzend,67626544,10000,512,1367248,4859,25112,3747230389,3742760525,1371853
influenza,lzend,54808555,10000,512,10832782,2991,4698,1290761027,1252523295,10837375
coreutils,lzend,205281778,10000,512,18016040,4295,4023,1734358365,1665717785,18020633

einstein,sample_scan_512,467626544,10000,512,11211544,124814,494,7553368498,465790204,16990996
influenza,sample_scan_512,154808555,10000,512,4754612,41414,527,2614362188,293704372,43128092
coreutils,sample_scan_512,205281778,10000,512,9821068,66549,554,3632860899,204881292,112264532
